weight,height,body_fat,muscle_mass,water_perc,goal,training_days,cardio_minutes,strength_sessions,sets,reps
109,182,10,38,61.41278951487911,Muscle Gain,4,64,5,4,8
61,180,23,21,45.77926264620467,Weight Gain,3,41,3,4,9
75,183,28,28,54.920749085868124,Weight Gain,3,23,3,4,9
59,186,18,22,64.81010284001347,Weight Gain,3,52,4,4,8
61,198,32,32,59.79817520894749,Muscle Gain,4,61,4,3,11
108,168,26,23,45.21675302960597,Weight Loss,4,234,2,2,15
68,196,25,24,50.86421543396129,Weight Loss,6,277,2,3,16
106,188,22,29,64.4849641706882,Weight Gain,4,24,3,3,6
67,196,21,28,60.23021263434944,Weight Loss,4,154,3,2,19
99,176,11,24,55.26652337384786,Weight Gain,3,36,4,3,6
66,156,34,32,60.067563705178834,Weight Gain,4,46,3,3,9
76,159,28,26,53.689036889765426,Weight Loss,4,273,3,3,15
88,150,12,32,49.7501294258494,Weight Loss,4,257,2,3,12
107,193,22,32,45.863198239011524,Weight Loss,5,260,2,2,15
84,168,29,37,48.32430863818506,Weight Loss,5,284,2,2,16
65,172,34,30,50.6192637918446,Weight Gain,4,36,4,3,9
75,157,27,24,64.48789615332333,Muscle Gain,5,51,4,3,10
78,162,23,22,61.45074485846338,Weight Gain,3,31,3,3,7
108,194,14,20,60.55204567470451,Weight Gain,4,36,3,4,8
62,182,11,28,53.2963900467533,Weight Loss,4,198,3,3,12
87,152,30,24,59.52241688143696,Weight Gain,4,41,3,3,7
50,194,22,23,49.57285611006925,Weight Loss,6,172,3,3,18
103,152,27,31,61.32771470426125,Weight Loss,6,210,2,3,18
86,170,23,21,61.10089335038724,Muscle Gain,5,96,5,4,7
79,164,28,21,51.96510934046601,Weight Gain,4,42,3,4,7
100,166,14,23,54.186936158923444,Weight Loss,5,157,3,3,19
55,151,22,30,56.592998689434765,Muscle Gain,4,81,4,3,8
57,153,17,23,51.91334566647726,Muscle Gain,5,40,4,3,7
68,170,14,37,50.57180678063917,Weight Loss,5,299,3,2,16
75,195,11,36,55.068345417097134,Weight Loss,4,226,3,2,18
105,179,20,35,46.22155919709728,Weight Gain,4,29,4,3,8
64,196,33,33,57.36509543060592,Muscle Gain,5,61,5,3,7
56,152,24,33,59.992324640171745,Weight Loss,5,181,2,2,18
77,159,16,36,49.22896013993089,Weight Gain,4,37,3,3,9
59,152,18,32,54.591642035085,Muscle Gain,6,62,4,4,6
90,186,15,39,57.91834482663202,Weight Gain,3,20,3,3,6
55,197,13,30,46.75775249080288,Weight Gain,4,51,3,3,8
80,189,14,23,64.94511069536789,Weight Gain,5,34,4,3,9
103,198,33,25,58.372864398488616,Weight Loss,6,230,2,3,13
93,154,15,23,53.50872877232834,Weight Loss,5,265,3,2,12
87,186,20,23,51.41284384319029,Muscle Gain,4,34,5,4,7
93,151,22,27,61.1974889170927,Weight Loss,5,254,2,2,12
73,187,32,22,51.977365330859904,Weight Loss,4,211,3,3,13
58,183,21,22,46.329925347335546,Weight Gain,4,51,4,3,6
109,179,12,24,61.29149440462764,Muscle Gain,5,54,5,4,6
74,167,17,27,53.78269817140437,Weight Gain,5,47,3,3,8
74,166,10,34,52.67782442746423,Weight Gain,4,54,4,3,8
55,152,16,38,51.69811229314172,Muscle Gain,5,51,4,4,11
78,187,34,20,59.13960922486918,Muscle Gain,4,61,5,4,11
54,159,10,25,55.7296270296919,Muscle Gain,5,78,5,4,10
53,161,22,21,45.24406144636089,Muscle Gain,5,59,5,4,8
69,160,19,27,56.66783589532241,Muscle Gain,4,57,5,3,9
89,167,34,20,45.36220367641681,Muscle Gain,5,67,5,4,9
57,191,26,28,53.48261342604772,Weight Loss,6,179,2,3,14
95,186,30,33,48.726417589882416,Muscle Gain,5,34,4,4,8
58,158,19,39,60.755797774289846,Weight Gain,3,54,3,4,6
87,151,16,37,54.61673956178147,Muscle Gain,5,68,4,4,8
101,155,30,20,52.24787798233266,Muscle Gain,4,57,5,4,7
56,166,29,28,47.97325455506226,Weight Gain,4,43,3,3,9
50,181,22,38,49.19811186191171,Muscle Gain,5,66,5,3,6
89,168,27,20,60.51055233390021,Muscle Gain,5,26,5,4,6
100,153,10,27,62.235712420270346,Muscle Gain,4,52,5,4,8
109,182,32,37,62.339875200230466,Weight Loss,5,213,3,2,14
103,196,14,22,62.74920965027006,Muscle Gain,5,63,4,4,11
65,153,29,24,47.82163697555427,Weight Gain,3,45,3,4,8
97,168,13,37,62.8534342215395,Muscle Gain,5,50,4,4,7
69,154,14,25,60.4766904640268,Weight Loss,5,203,3,2,15
73,166,19,33,54.421309053876286,Weight Loss,5,266,2,3,12
74,188,18,30,53.434078691065636,Weight Gain,4,48,3,4,8
55,167,30,29,56.53032951028507,Weight Gain,4,37,3,3,7
72,191,31,25,59.64369156918124,Weight Gain,4,29,4,3,6
51,192,10,38,46.806739211552156,Muscle Gain,5,54,4,3,8
89,184,31,21,52.93298746104109,Weight Gain,5,33,4,3,7
68,184,29,30,61.92815698629114,Muscle Gain,4,70,5,3,7
58,189,26,20,54.90982632412397,Muscle Gain,6,78,4,3,8
86,193,21,38,50.44290274459925,Weight Gain,5,44,3,4,8
66,159,34,36,48.70265857677239,Weight Gain,4,49,3,4,8
72,186,31,35,61.983913031306386,Weight Loss,5,236,3,2,14
94,175,24,29,56.765275139398625,Weight Loss,5,178,2,3,13
64,156,18,38,63.48792390753061,Weight Gain,3,51,3,4,8
88,184,27,29,57.89093301251644,Weight Gain,3,34,3,4,9
52,186,20,27,53.82064323496323,Muscle Gain,5,70,4,4,6
67,182,25,32,57.31726376364609,Weight Gain,5,56,4,4,7
62,167,12,26,45.189708672569964,Weight Loss,6,210,2,3,12
79,174,16,39,59.75164603177783,Weight Gain,3,29,3,4,9
53,167,14,35,45.35747869466827,Weight Gain,4,22,3,3,6
86,192,15,26,62.58236615124329,Weight Gain,4,26,4,3,7
101,153,17,39,61.75651470566491,Weight Gain,3,27,3,4,6
98,152,33,25,61.0153937425975,Weight Gain,3,48,3,3,8
108,191,12,37,54.82372681737253,Weight Loss,5,156,3,2,17
74,158,13,33,62.20253632835848,Muscle Gain,4,83,4,3,9
52,174,11,31,45.7084473683709,Muscle Gain,5,58,4,3,8
87,157,14,35,54.91751470157541,Weight Gain,3,39,4,3,6
89,194,28,22,51.95618415804386,Weight Gain,4,54,3,3,6
65,189,10,35,59.1672595343007,Muscle Gain,5,49,4,4,9
109,156,14,30,64.22630576369815,Weight Loss,5,176,2,3,13
80,167,13,21,61.64268355915484,Weight Loss,5,194,3,3,16
90,166,17,21,57.68011406199223,Weight Loss,4,217,2,3,18
81,183,24,24,47.05019455981358,Weight Gain,4,52,4,3,9
59,150,31,37,62.430736123047524,Muscle Gain,4,42,5,3,8
56,178,20,20,51.472204382990824,Muscle Gain,5,83,4,4,7
83,178,13,36,47.04387239387438,Weight Loss,5,173,2,2,16
81,151,24,33,49.60107366062868,Muscle Gain,4,36,4,4,9
65,186,29,25,60.20188156876195,Weight Loss,5,141,3,3,17
84,198,34,31,56.25500572686765,Muscle Gain,5,86,5,3,6
64,176,23,37,60.22047981885998,Muscle Gain,4,65,4,4,9
69,195,24,33,56.96654530244854,Weight Gain,4,30,4,3,7
73,157,20,32,47.99161285335131,Weight Loss,6,208,3,3,18
81,160,22,20,64.05297276077434,Weight Loss,5,166,3,2,19
61,195,24,35,54.64712763103183,Weight Loss,5,248,3,2,12
79,182,22,39,52.156027018565425,Muscle Gain,5,74,4,4,11
64,183,19,31,47.091356806688005,Muscle Gain,4,30,4,4,6
88,180,18,37,63.70403630598919,Weight Gain,5,35,4,3,8
60,169,25,23,56.9495172526386,Weight Gain,4,25,3,3,9
60,167,31,31,49.94206468020293,Weight Loss,5,197,2,3,14
85,194,17,38,48.233450882936054,Weight Gain,4,30,4,3,9
77,159,28,22,49.41122249844646,Weight Gain,3,43,3,3,9
86,153,21,39,55.09689763786035,Weight Gain,3,42,3,4,7
85,151,24,21,60.85912189211263,Muscle Gain,5,81,4,4,11
52,194,27,27,61.719961275624186,Weight Loss,4,174,3,3,19
93,163,23,21,48.619539054189794,Weight Loss,5,194,3,3,15
63,188,34,39,56.859017028698545,Weight Gain,4,38,3,4,7
54,150,17,31,47.617473214366996,Weight Loss,5,199,2,2,13
65,159,19,31,61.577667317652185,Weight Loss,4,178,3,2,15
77,192,14,34,58.2760905524361,Weight Loss,5,273,3,3,15
55,193,29,37,64.73385960714323,Weight Loss,4,178,3,3,16
55,186,30,24,47.066179142480316,Muscle Gain,5,41,5,4,10
83,174,27,26,54.094797112677185,Muscle Gain,5,81,4,4,11
101,165,27,29,59.65797836682684,Weight Gain,3,20,3,4,6
96,171,24,21,58.23264700742293,Muscle Gain,5,78,5,4,7
75,157,24,27,60.370387290475826,Muscle Gain,5,62,5,4,6
80,165,23,35,58.024659540829845,Weight Gain,4,45,4,4,9
82,190,34,35,60.04855525231145,Weight Loss,4,210,3,2,17
87,168,15,21,60.245702695532316,Weight Loss,4,228,2,2,12
74,170,24,20,52.32923069742796,Muscle Gain,4,40,4,4,10
98,181,26,22,49.54539254526303,Weight Gain,3,45,4,4,7
95,158,12,27,55.38163570272436,Weight Gain,4,39,4,3,9
97,186,24,31,54.533909500823185,Muscle Gain,6,52,5,4,7
94,170,32,30,45.151257499562846,Muscle Gain,5,97,4,3,9
64,153,30,32,52.03245374479269,Weight Gain,4,27,4,3,9
77,184,17,35,46.79252678309884,Weight Gain,4,21,3,3,9
56,180,21,29,60.99562190848043,Muscle Gain,4,78,4,4,10
69,153,31,26,61.31497287008562,Weight Loss,5,194,2,2,18
75,158,24,29,48.49546885654755,Weight Loss,4,215,3,3,12
53,199,33,38,62.023485217055416,Muscle Gain,5,44,5,3,9
104,199,14,34,49.704711696039695,Weight Gain,3,44,3,4,9
84,177,16,30,49.63894192231951,Weight Gain,4,51,4,4,8
52,191,31,26,59.49033702797236,Muscle Gain,4,48,5,4,8
91,181,16,32,46.58838737977973,Weight Loss,5,275,2,3,12
90,188,13,32,55.38119581816541,Weight Gain,4,21,4,3,9
87,157,27,22,55.65915573102671,Weight Loss,6,153,3,3,13
51,187,26,22,59.61301020478492,Weight Gain,4,29,4,4,7
78,180,24,35,53.18955706010408,Weight Gain,4,40,4,3,9
79,194,32,38,48.04832026660835,Weight Loss,5,262,3,3,12
55,171,27,27,60.10540840993616,Weight Loss,4,168,3,3,15
85,182,32,37,51.83349003793842,Weight Loss,4,151,2,2,12
52,172,13,37,55.313588553929954,Muscle Gain,5,81,4,4,9
91,161,24,36,47.32732795770952,Weight Gain,3,57,4,4,7
55,152,25,26,51.09358278196082,Weight Loss,4,290,2,3,14
67,163,29,37,57.81944154690664,Weight Loss,6,177,2,3,12
50,195,25,33,48.49677254520825,Muscle Gain,4,61,5,3,10
57,170,11,23,47.70332578309645,Weight Loss,5,164,3,3,19
69,167,15,30,57.391759097956594,Muscle Gain,4,59,4,3,8
74,151,20,37,46.15561121992733,Muscle Gain,4,50,4,3,8
77,195,28,26,58.84322683388264,Weight Loss,5,149,2,3,12
109,178,29,23,55.54082927823303,Muscle Gain,5,58,5,3,11
56,176,31,33,48.537742902877085,Weight Loss,5,277,3,2,13
64,170,19,26,57.37896386015443,Weight Loss,4,223,2,2,19
98,160,30,39,50.32038556010762,Weight Loss,5,180,3,3,15
84,190,29,25,52.84787443056949,Weight Gain,3,27,4,3,6
109,197,10,29,63.606377696756475,Weight Loss,5,187,3,2,17
66,172,33,32,48.003380016340834,Weight Loss,4,250,3,2,19
50,194,28,22,45.24216950469775,Weight Loss,5,163,3,3,18
60,164,28,26,60.67685353535347,Muscle Gain,4,84,4,3,11
59,187,24,35,64.3572006969006,Muscle Gain,6,76,4,3,7
52,198,13,23,60.49267561275576,Weight Loss,4,270,2,3,18
70,185,21,27,47.279132694286346,Weight Loss,4,244,3,3,19
59,164,26,27,56.97063151368731,Weight Loss,4,215,3,3,13
71,179,29,31,48.94940979719875,Weight Gain,3,36,3,4,9
98,161,18,34,50.044820403467234,Weight Loss,5,294,3,3,17
72,193,20,30,50.3866259660405,Weight Loss,5,158,2,2,18
80,164,28,31,59.65603089532501,Muscle Gain,5,58,5,3,11
93,196,34,24,48.20143269909146,Weight Gain,4,27,4,3,9
50,153,17,22,53.02988631722577,Weight Gain,4,40,4,3,9
76,176,11,28,52.50519808885333,Weight Loss,5,236,3,3,13
66,163,23,21,60.17352780222009,Muscle Gain,6,74,4,3,11
107,153,24,23,59.441418764054745,Weight Gain,3,42,3,4,6
88,170,19,25,48.33770235709742,Weight Loss,4,172,2,2,18
52,173,14,35,49.50877510927388,Weight Gain,5,61,4,4,8
98,195,28,32,59.91850417627349,Weight Gain,4,43,4,4,8
79,198,32,20,46.772008593592346,Weight Loss,4,198,2,2,15
82,166,15,23,54.923327682264386,Muscle Gain,5,40,5,3,11
58,175,25,24,48.689525062672786,Weight Loss,5,201,2,2,14
55,166,22,38,63.813584902306815,Weight Gain,3,54,3,3,6
98,170,19,24,59.12038015328049,Weight Gain,4,51,3,4,8
55,190,31,33,57.20450298955282,Weight Loss,4,234,3,2,15
91,179,31,26,49.939575981439994,Weight Gain,5,28,4,4,7
74,162,15,31,48.12763608806896,Muscle Gain,5,40,5,3,6
99,182,16,25,62.99666691374545,Weight Gain,5,29,4,4,8
75,193,33,33,59.61641929961459,Weight Gain,3,31,3,3,8
73,198,28,38,64.44010659263074,Weight Loss,4,262,3,2,13
71,182,26,21,53.07955752653096,Muscle Gain,4,63,5,3,6
95,155,11,20,53.572610939409515,Weight Loss,5,162,3,2,13
65,197,28,26,55.90863738813811,Muscle Gain,6,75,5,3,7
98,181,16,39,55.896955181690316,Weight Gain,4,45,3,4,9
71,177,23,28,56.20364516749824,Weight Gain,4,20,3,4,7
93,182,19,39,60.96688376448657,Muscle Gain,6,60,4,3,7
54,160,33,31,55.466592623894826,Weight Loss,6,238,3,2,12
97,195,17,37,48.15909645670696,Weight Gain,4,20,3,4,8
76,199,20,27,55.14102207730882,Weight Loss,5,151,2,3,15
53,179,15,33,46.66928169978767,Weight Loss,5,290,3,2,19
104,170,22,21,48.3190979059157,Weight Gain,5,44,3,3,9
74,152,10,23,59.387072447383176,Weight Gain,4,22,3,3,9
101,187,27,25,59.204855972466234,Weight Loss,4,249,3,2,16
61,177,25,20,49.797482255118894,Weight Gain,4,42,4,3,6
71,166,14,31,54.42574334796329,Muscle Gain,4,55,4,4,10
84,189,33,34,48.497628743519186,Weight Loss,6,265,2,3,18
53,174,24,25,52.207556398606954,Weight Loss,4,199,2,2,17
61,166,16,28,60.76894686506597,Weight Loss,5,255,2,3,14
105,195,15,33,62.2912721904534,Weight Gain,4,47,4,3,7
98,174,17,33,63.361531043983014,Muscle Gain,6,69,4,3,11
91,168,18,39,64.63597386521255,Weight Gain,3,36,3,4,8
96,163,33,25,47.404944530233514,Weight Loss,5,161,3,2,19
60,184,18,33,59.86386397463207,Muscle Gain,5,60,5,4,6
71,190,33,35,49.79020339819076,Weight Loss,5,168,2,2,19
70,170,14,35,61.627470287714196,Muscle Gain,5,60,4,3,6
53,184,26,21,62.579578005645345,Weight Loss,5,195,2,2,19
95,196,24,28,51.81631399579693,Weight Loss,5,178,2,3,15
53,156,13,31,54.75334137242529,Weight Gain,5,20,4,4,8
50,157,32,25,46.41864432267547,Weight Loss,5,291,2,3,17
68,191,10,32,54.64082116224165,Weight Gain,3,34,4,3,6
98,195,26,27,45.734427250016424,Weight Loss,5,187,2,2,12
92,190,18,24,50.69124603525795,Weight Loss,6,168,2,2,18
88,162,20,33,64.8563367799814,Weight Loss,5,196,2,2,19
57,157,30,32,57.158104281814076,Weight Loss,4,236,2,3,13
74,176,23,32,61.59175113730501,Weight Loss,4,223,3,3,13
85,167,14,38,56.92643037720737,Weight Loss,4,221,3,2,18
51,178,18,29,52.2383998167573,Muscle Gain,4,37,5,4,8
106,188,12,39,57.75754185327268,Weight Loss,5,239,3,2,19
51,166,18,31,50.900814153083125,Weight Loss,4,200,2,3,16
80,174,32,25,61.912087259798135,Weight Gain,4,35,4,3,6
102,187,21,21,52.684792402747625,Muscle Gain,5,66,4,3,8
109,182,33,26,55.233627731630236,Weight Loss,5,204,2,2,18
109,167,12,30,52.71749005790232,Muscle Gain,5,37,4,3,11
83,197,29,31,56.1937688967588,Muscle Gain,5,70,4,4,10
60,194,13,33,45.619115818386874,Muscle Gain,5,84,5,4,8
102,179,19,24,61.70960472764655,Weight Loss,5,266,2,2,18
67,158,26,32,57.1375468315386,Weight Gain,4,29,3,4,9
54,186,18,36,55.64515062297952,Weight Loss,6,201,2,2,14
83,181,22,38,48.54341850543731,Weight Loss,6,272,3,2,15
53,150,33,22,48.01042983326827,Weight Gain,4,62,3,3,6
89,171,34,38,49.02624215644867,Weight Loss,5,185,2,2,16
76,183,20,32,54.16932849138516,Weight Gain,3,39,3,4,6
90,195,21,25,47.97591938810231,Muscle Gain,5,70,5,4,9
87,160,10,34,57.11510606278114,Weight Loss,5,235,3,2,18
53,156,22,22,49.009490310568054,Weight Loss,5,255,2,2,12
81,157,28,25,50.12095130209909,Weight Loss,4,180,2,3,13
52,159,19,35,61.39595609969455,Weight Loss,5,188,3,3,12
84,168,27,27,64.89297283119996,Muscle Gain,5,30,4,3,9
50,164,14,32,60.06855844513938,Weight Loss,6,268,2,2,12
89,172,18,21,46.5529866934321,Weight Gain,4,60,3,3,9
109,162,22,21,45.121774964796785,Muscle Gain,5,58,5,4,6
91,165,15,21,46.45803670735807,Weight Loss,6,252,2,3,13
57,172,23,26,54.528739726875834,Weight Loss,5,168,2,2,16
104,172,19,29,61.428639832851864,Weight Gain,4,42,4,4,7
101,173,24,23,47.857519226788234,Muscle Gain,5,54,5,3,11
105,183,20,28,59.972904682524,Muscle Gain,4,67,4,4,10
81,171,15,36,46.253792432437315,Weight Gain,4,25,3,4,6
106,150,20,38,56.299687153505076,Weight Gain,5,25,4,4,8
68,198,15,35,63.72642307938314,Muscle Gain,4,36,5,3,7
109,176,34,29,47.78231697782175,Weight Loss,5,168,2,2,19
53,196,34,28,47.10729844501713,Muscle Gain,4,46,4,4,6
88,177,18,22,54.15399210318588,Weight Gain,5,31,3,4,6
62,167,14,32,53.315950013749,Weight Gain,4,20,3,4,8
85,194,32,32,45.71877349843107,Weight Loss,6,152,2,3,13
93,193,30,27,54.36308282602061,Weight Loss,5,176,3,2,14
103,159,30,31,46.99733642272356,Weight Gain,4,38,3,4,9
85,163,19,22,54.85729168894893,Muscle Gain,5,46,5,4,9
74,185,15,20,51.23727715833766,Muscle Gain,5,68,5,4,9
108,196,18,21,48.63478381418926,Muscle Gain,6,57,4,3,6
101,161,25,35,50.99601055130472,Weight Loss,5,257,2,2,19
82,172,34,27,49.141898363531425,Muscle Gain,5,60,4,3,6
83,177,22,34,46.194329779417785,Weight Gain,4,54,4,3,8
99,160,24,28,49.09962419053633,Weight Gain,4,25,4,3,7
108,194,28,30,64.63306647704896,Muscle Gain,4,61,4,3,6
101,187,33,34,46.21257852132936,Weight Gain,4,45,3,4,6
105,182,27,25,55.593194478912395,Muscle Gain,5,82,4,4,10
71,167,23,29,48.60615870845556,Muscle Gain,5,32,5,4,10
93,182,26,35,64.89962738650186,Weight Gain,3,55,4,4,7
53,184,25,31,50.19083566352181,Weight Loss,5,175,2,2,17
75,155,13,31,60.85190232576767,Muscle Gain,4,68,4,3,8
51,183,32,27,48.23342872473924,Weight Gain,5,51,3,4,6
66,169,33,37,60.43253821957215,Weight Gain,4,27,3,4,9
92,170,33,29,51.43339979319097,Weight Gain,3,20,4,3,7
93,162,22,29,63.0276619328387,Weight Gain,4,42,4,3,6
98,152,29,39,60.085299466940455,Muscle Gain,4,84,4,3,7
67,194,29,39,56.476825082090265,Weight Gain,4,22,4,3,7
69,172,19,30,60.03544346078186,Weight Loss,5,292,3,3,19
78,153,14,30,56.26649284066093,Weight Loss,4,221,3,2,14
96,156,17,24,53.38895987914627,Muscle Gain,5,46,4,4,9
90,197,28,35,62.10060403239871,Weight Gain,4,40,4,4,8
50,152,24,27,45.952825148730135,Weight Gain,4,34,4,4,9
106,198,32,39,53.50456370875388,Weight Loss,4,206,2,2,16
86,159,17,26,49.071567550927206,Weight Loss,5,145,3,2,17
77,161,15,38,58.26094383606845,Muscle Gain,4,28,4,3,7
74,197,28,33,47.507129515847716,Muscle Gain,4,80,5,3,11
98,165,32,29,59.18641656945219,Muscle Gain,5,44,4,3,7
53,197,29,34,59.288483281424845,Weight Loss,4,259,2,2,18
85,166,18,21,58.94418763819274,Muscle Gain,5,41,4,3,7
83,190,18,32,49.26786695951379,Weight Loss,5,232,2,2,15
104,150,26,22,54.650008404707215,Weight Gain,3,28,3,4,8
63,183,32,23,56.17961268199548,Weight Loss,5,273,2,2,12
54,176,25,25,47.36984717536801,Weight Gain,4,37,4,4,8
74,169,13,31,50.80091063924874,Weight Gain,4,48,4,3,7
99,165,32,38,57.55986765208196,Weight Loss,4,162,3,2,14
66,155,10,24,59.65398101180561,Weight Gain,3,60,4,4,9
71,154,11,34,52.62882082826623,Weight Loss,5,236,3,2,18
72,168,31,39,50.55705552179425,Weight Gain,3,28,3,3,9
66,151,15,24,64.57915014082208,Weight Loss,4,237,3,3,12
61,156,12,29,55.33579878256316,Muscle Gain,5,31,5,4,7
104,188,24,25,46.366682096912086,Weight Loss,6,301,3,2,15
51,179,30,21,59.07584621981015,Weight Gain,3,44,4,3,6
108,185,11,23,63.93467457846791,Weight Gain,3,37,3,3,8
97,170,33,23,59.022791888349474,Weight Loss,5,183,2,2,16
58,185,28,20,49.40967386946608,Weight Loss,4,200,3,3,19
87,166,19,37,59.856499498126325,Weight Gain,4,44,3,3,9
53,178,18,38,56.78907978969394,Weight Loss,4,267,2,3,13
88,198,30,34,59.77446301453133,Muscle Gain,6,67,4,4,10
83,189,20,37,59.654669495723304,Weight Gain,4,29,4,4,7
67,187,28,23,63.654210162655225,Weight Loss,6,283,3,3,12
57,195,19,36,63.415332169267145,Weight Gain,3,38,3,3,9
58,167,33,21,57.60494438912316,Muscle Gain,4,89,5,4,9
86,164,27,21,55.00160236543165,Muscle Gain,6,86,4,4,11
103,173,13,34,50.62076162762057,Muscle Gain,5,62,5,3,6
70,197,14,36,48.71293409802486,Weight Loss,6,251,2,3,14
54,150,13,31,49.99913892795242,Weight Gain,3,53,3,3,8
73,174,22,33,63.27576887746518,Weight Loss,5,255,3,2,13
65,182,26,28,46.55281551977563,Weight Loss,4,187,3,2,17
72,166,21,35,59.967117073314796,Weight Loss,4,181,2,2,18
101,196,25,32,48.30568980285915,Weight Loss,5,273,3,3,17
79,166,20,29,62.63324964665425,Weight Gain,5,58,4,3,7
88,196,31,38,51.71347666078119,Weight Gain,4,47,4,3,6
82,182,28,22,58.92859614072215,Muscle Gain,6,32,4,4,7
103,150,11,35,63.902283775120175,Weight Loss,4,219,2,2,18
56,162,14,36,58.57795450155681,Weight Gain,3,64,3,3,6
92,174,12,34,62.712395284835466,Muscle Gain,5,53,5,4,6
105,150,34,35,49.06872950272182,Muscle Gain,6,78,4,4,10
51,190,22,34,54.3261951228034,Weight Loss,6,184,2,3,13
51,181,17,25,52.78809877957751,Weight Loss,5,191,2,3,15
94,167,11,32,61.07629090386894,Muscle Gain,6,66,4,4,10
52,163,17,23,54.2847703947845,Muscle Gain,5,60,4,4,8
51,198,18,21,60.45619146580675,Muscle Gain,5,48,5,4,6
97,194,16,39,47.8064903638703,Weight Loss,4,188,2,2,18
78,166,25,22,53.66326222630333,Weight Gain,4,57,3,4,7
91,162,20,35,49.0450836104907,Muscle Gain,4,70,4,3,7
59,193,20,34,56.158548903014015,Weight Gain,4,37,3,4,8
87,196,12,25,59.96465662663792,Weight Loss,5,291,3,3,16
56,171,19,26,60.535809668144545,Muscle Gain,5,55,4,3,11
69,161,10,27,45.62298185586782,Muscle Gain,6,29,4,3,8
109,195,27,35,51.46054691508188,Weight Gain,3,54,3,3,8
67,151,17,30,61.25427239786124,Weight Loss,6,186,3,2,15
52,194,12,34,51.08060544895999,Weight Loss,4,192,3,2,14
103,160,25,22,45.31485825991354,Muscle Gain,6,57,5,3,9
92,184,12,35,53.296302387778944,Weight Loss,5,240,2,3,16
92,151,19,30,56.57680336071185,Muscle Gain,5,47,4,4,7
108,154,28,31,54.88295341275766,Weight Gain,4,39,4,3,7
67,176,32,37,47.2012656840223,Muscle Gain,5,71,4,3,6
103,159,31,38,59.95588699518745,Muscle Gain,5,37,4,4,9
96,166,23,33,46.2120981542982,Weight Gain,5,53,3,3,8
89,169,15,22,57.78064317829842,Weight Gain,4,27,3,4,6
51,185,31,30,56.8568036101622,Muscle Gain,5,55,5,3,7
69,165,23,30,49.22463662945862,Weight Loss,5,245,3,2,12
69,186,19,36,57.45261067197316,Muscle Gain,4,40,4,3,10
69,188,30,31,61.339478145436736,Weight Gain,4,55,3,4,8
56,193,11,39,46.10445041486057,Weight Gain,4,31,3,4,8
57,189,21,27,49.14545958135335,Weight Loss,5,198,3,3,18
