weight,height,body_fat,muscle_mass,water_perc,bmr,goal,calories,protein,carbs,fat
63,170,25,39,32.97,1691,Muscle Gain,1991,174.21,223.99,44.24
52,166,10,35,24.37,2182,Weight Gain,2682,167.62,335.25,74.5
104,171,23,25,67.16,1862,Weight Gain,2362,147.62,295.25,65.61
57,176,11,20,32.23,1780,Weight Loss,1280,128.0,96.0,42.67
109,197,28,23,49.58,1348,Weight Loss,848,84.8,63.6,28.27
93,177,23,25,48.73,2044,Weight Loss,1544,154.4,115.8,51.47
73,178,26,33,46.96,1398,Weight Loss,898,89.8,67.35,29.93
101,170,32,20,51.85,1427,Weight Gain,1927,120.44,240.88,53.53
74,191,31,22,41.74,2091,Weight Gain,2591,161.94,323.88,71.97
81,196,31,21,40.57,1789,Weight Gain,2289,143.06,286.12,63.58
75,166,17,20,35.8,1545,Muscle Gain,1845,161.44,207.56,41.0
78,191,32,22,39.1,1707,Weight Loss,1207,120.7,90.52,40.23
109,156,34,23,66.45,1620,Weight Gain,2120,132.5,265.0,58.89
65,163,21,38,33.64,1391,Weight Gain,1891,118.19,236.38,52.53
51,181,32,38,27.7,1874,Weight Gain,2374,148.38,296.75,65.94
71,171,26,39,32.5,2082,Weight Gain,2582,161.38,322.75,71.72
92,186,10,27,55.57,1919,Weight Loss,1419,141.9,106.42,47.3
88,153,15,32,43.02,1649,Muscle Gain,1949,170.54,219.26,43.31
84,189,29,35,54.19,1935,Weight Gain,2435,152.19,304.38,67.64
79,168,26,38,42.49,1645,Weight Loss,1145,114.5,85.88,38.17
75,172,18,31,39.88,1357,Weight Gain,1857,116.06,232.12,51.58
50,196,11,35,24.33,1536,Weight Loss,1036,103.6,77.7,34.53
50,165,16,24,28.62,1546,Muscle Gain,1846,161.52,207.68,41.02
61,175,25,38,36.7,1996,Weight Loss,1496,149.6,112.2,49.87
63,177,14,34,28.86,2049,Weight Gain,2549,159.31,318.62,70.81
101,154,21,35,47.43,1731,Weight Loss,1231,123.1,92.33,41.03
88,185,10,24,46.61,1821,Weight Gain,2321,145.06,290.12,64.47
54,185,11,39,28.35,2061,Muscle Gain,2361,206.59,265.61,52.47
107,181,10,24,62.79,1315,Muscle Gain,1615,141.31,181.69,35.89
51,198,29,31,26.91,1679,Weight Loss,1179,117.9,88.42,39.3
82,192,14,31,43.23,1716,Weight Gain,2216,138.5,277.0,61.56
92,193,22,31,43.25,2197,Weight Loss,1697,169.7,127.27,56.57
100,199,12,36,58.11,1904,Weight Gain,2404,150.25,300.5,66.78
59,175,11,38,29.88,1495,Weight Gain,1995,124.69,249.38,55.42
102,199,22,30,63.8,1719,Weight Loss,1219,121.9,91.42,40.63
70,185,19,24,42.01,1491,Muscle Gain,1791,156.71,201.49,39.8
98,184,25,23,51.39,1395,Muscle Gain,1695,148.31,190.69,37.67
81,186,21,36,47.46,1578,Weight Loss,1078,107.8,80.85,35.93
84,190,26,36,46.29,2179,Weight Loss,1679,167.9,125.92,55.97
71,162,28,36,32.71,1744,Weight Loss,1244,124.4,93.3,41.47
68,161,18,26,43.61,2034,Muscle Gain,2334,204.22,262.57,51.87
107,196,25,24,54.42,1324,Muscle Gain,1624,142.1,182.7,36.09
70,185,30,35,42.55,1408,Weight Loss,908,90.8,68.1,30.27
91,188,23,24,54.36,2032,Muscle Gain,2332,204.05,262.35,51.82
60,167,24,31,35.26,1791,Weight Loss,1291,129.1,96.83,43.03
87,156,23,32,43.02,1692,Weight Gain,2192,137.0,274.0,60.89
76,151,14,24,37.75,1947,Weight Loss,1447,144.7,108.52,48.23
50,171,29,36,31.97,1516,Weight Loss,1016,101.6,76.2,33.87
53,185,15,38,32.09,1481,Muscle Gain,1781,155.84,200.36,39.58
76,159,28,26,40.8,1472,Weight Loss,972,97.2,72.9,32.4
99,177,29,27,46.88,1660,Muscle Gain,1960,171.5,220.5,43.56
50,152,22,36,23.33,1416,Weight Gain,1916,119.75,239.5,53.22
107,193,22,32,49.07,1448,Weight Gain,1948,121.75,243.5,54.11
70,160,14,23,39.25,1831,Weight Loss,1331,133.1,99.83,44.37
67,196,18,36,39.47,1714,Weight Loss,1214,121.4,91.05,40.47
102,152,25,30,51.63,2035,Weight Gain,2535,158.44,316.88,70.42
61,173,30,27,29.52,1975,Weight Gain,2475,154.69,309.38,68.75
57,199,14,28,28.61,1801,Muscle Gain,2101,183.84,236.36,46.69
66,158,10,39,37.66,2051,Weight Loss,1551,155.1,116.32,51.7
62,195,12,25,39.68,1555,Weight Loss,1055,105.5,79.12,35.17
96,174,11,29,61.11,1541,Muscle Gain,1841,161.09,207.11,40.91
94,154,32,20,56.92,1445,Muscle Gain,1745,152.69,196.31,38.78
98,160,30,36,60.53,1909,Weight Loss,1409,140.9,105.67,46.97
84,150,30,35,39.07,1775,Weight Loss,1275,127.5,95.62,42.5
54,180,14,25,34.16,1322,Weight Loss,822,82.2,61.65,27.4
102,186,19,29,53.61,1384,Weight Gain,1884,117.75,235.5,52.33
58,195,10,38,29.29,2071,Weight Gain,2571,160.69,321.38,71.42
50,198,17,21,26.08,1371,Muscle Gain,1671,146.21,187.99,37.13
75,183,31,22,41.55,1567,Weight Loss,1067,106.7,80.02,35.57
103,193,14,36,49.11,1602,Muscle Gain,1902,166.42,213.97,42.27
64,186,30,33,37.81,1734,Muscle Gain,2034,177.97,228.83,45.2
87,183,15,37,49.41,2097,Muscle Gain,2397,209.74,269.66,53.27
76,183,29,25,41.05,1634,Weight Gain,2134,133.38,266.75,59.28
104,191,28,36,66.55,2199,Weight Gain,2699,168.69,337.38,74.97
105,166,19,36,52.67,1368,Weight Gain,1868,116.75,233.5,51.89
55,151,22,30,31.13,2182,Muscle Gain,2482,217.17,279.23,55.16
106,172,32,35,50.92,1673,Weight Loss,1173,117.3,87.97,39.1
52,181,12,37,29.66,1350,Muscle Gain,1650,144.38,185.62,36.67
70,154,27,29,33.98,1704,Weight Gain,2204,137.75,275.5,61.22
50,154,18,31,24.56,1845,Weight Loss,1345,134.5,100.88,44.83
63,175,22,28,29.51,1346,Weight Loss,846,84.6,63.45,28.2
71,196,33,30,45.03,1872,Weight Loss,1372,137.2,102.9,45.73
75,185,10,27,44.97,1552,Muscle Gain,1852,162.05,208.35,41.16
96,171,23,33,52.08,1664,Weight Gain,2164,135.25,270.5,60.11
63,156,12,34,38.99,1662,Muscle Gain,1962,171.67,220.72,43.6
109,194,27,25,60.66,1314,Weight Loss,814,81.4,61.05,27.13
104,186,19,26,53.5,1530,Weight Gain,2030,126.88,253.75,56.39
75,193,34,36,38.89,1324,Weight Gain,1824,114.0,228.0,50.67
52,190,22,37,24.3,1410,Weight Gain,1910,119.38,238.75,53.06
83,196,17,27,44.52,1894,Weight Gain,2394,149.62,299.25,66.5
90,186,15,39,52.13,2037,Muscle Gain,2337,204.49,262.91,51.93
105,194,15,24,66.86,1736,Weight Gain,2236,139.75,279.5,62.11
70,155,15,35,33.75,2142,Weight Gain,2642,165.12,330.25,73.39
79,180,33,28,36.82,1542,Muscle Gain,1842,161.17,207.22,40.93
89,186,13,25,47.13,2031,Muscle Gain,2331,203.96,262.24,51.8
53,164,15,36,29.05,1873,Weight Loss,1373,137.3,102.97,45.77
51,164,20,27,27.81,1472,Weight Loss,972,97.2,72.9,32.4
55,175,31,23,29.43,1524,Weight Loss,1024,102.4,76.8,34.13
61,196,10,33,30.97,2104,Weight Gain,2604,162.75,325.5,72.33
60,185,22,30,34.13,1989,Weight Gain,2489,155.56,311.12,69.14
54,172,19,31,26.48,1467,Weight Gain,1967,122.94,245.88,54.64
69,150,14,28,41.54,1849,Muscle Gain,2149,188.04,241.76,47.76
84,179,26,24,51.75,1535,Weight Gain,2035,127.19,254.38,56.53
63,160,18,21,30.63,1846,Weight Loss,1346,134.6,100.95,44.87
89,171,17,30,54.21,1569,Weight Gain,2069,129.31,258.62,57.47
84,170,14,24,41.76,1377,Weight Gain,1877,117.31,234.62,52.14
53,174,22,29,28.01,1595,Muscle Gain,1895,165.81,213.19,42.11
89,163,28,25,49.66,1874,Muscle Gain,2174,190.22,244.58,48.31
82,174,26,20,43.32,2120,Muscle Gain,2420,211.75,272.25,53.78
88,155,15,22,50.65,1853,Muscle Gain,2153,188.39,242.21,47.84
96,178,10,39,57.44,1719,Weight Loss,1219,121.9,91.42,40.63
87,182,14,20,39.73,1897,Weight Gain,2397,149.81,299.62,66.58
59,154,19,20,27.76,1458,Muscle Gain,1758,153.82,197.78,39.07
85,194,33,39,45.0,1456,Weight Loss,956,95.6,71.7,31.87
78,196,13,31,47.14,1710,Muscle Gain,2010,175.88,226.12,44.67
100,185,13,30,56.98,1959,Muscle Gain,2259,197.66,254.14,50.2
59,189,15,25,31.28,2114,Weight Gain,2614,163.38,326.75,72.61
95,192,21,32,45.39,1509,Weight Loss,1009,100.9,75.67,33.63
82,196,17,30,52.19,1655,Weight Loss,1155,115.5,86.62,38.5
105,186,17,29,63.45,2098,Weight Gain,2598,162.38,324.75,72.17
58,178,23,27,35.85,2078,Muscle Gain,2378,208.07,267.53,52.84
50,195,14,33,24.36,2124,Weight Loss,1624,162.4,121.8,54.13
103,189,24,34,47.48,1436,Weight Gain,1936,121.0,242.0,53.78
101,175,18,22,53.49,1836,Weight Gain,2336,146.0,292.0,64.89
60,187,11,26,31.16,1717,Muscle Gain,2017,176.49,226.91,44.82
66,192,21,38,32.98,1324,Muscle Gain,1624,142.1,182.7,36.09
101,155,30,20,52.77,1362,Muscle Gain,1662,145.42,186.97,36.93
71,175,27,36,34.48,1383,Weight Loss,883,88.3,66.22,29.43
98,169,31,27,53.94,2068,Weight Loss,1568,156.8,117.6,52.27
79,172,28,38,41.07,1969,Weight Loss,1469,146.9,110.17,48.97
98,194,25,27,55.61,2068,Weight Gain,2568,160.5,321.0,71.33
100,196,27,21,55.69,1412,Weight Gain,1912,119.5,239.0,53.11
79,187,28,23,38.42,1354,Muscle Gain,1654,144.72,186.08,36.76
52,181,19,29,32.73,1461,Weight Loss,961,96.1,72.08,32.03
72,177,27,26,41.89,2132,Weight Loss,1632,163.2,122.4,54.4
104,152,33,27,48.97,1538,Weight Loss,1038,103.8,77.85,34.6
52,182,24,27,24.43,1395,Weight Gain,1895,118.44,236.88,52.64
81,195,20,35,42.88,1464,Weight Gain,1964,122.75,245.5,54.56
70,163,32,35,32.72,1629,Muscle Gain,1929,168.79,217.01,42.87
82,172,30,38,38.91,1847,Weight Loss,1347,134.7,101.02,44.9
109,167,11,20,66.87,1822,Weight Gain,2322,145.12,290.25,64.5
51,152,32,31,31.42,2104,Weight Gain,2604,162.75,325.5,72.33
79,158,11,31,39.02,1805,Weight Gain,2305,144.06,288.12,64.03
93,173,26,29,52.37,1358,Weight Gain,1858,116.12,232.25,51.61
72,181,26,37,32.72,1825,Weight Loss,1325,132.5,99.38,44.17
89,151,22,26,43.93,1577,Muscle Gain,1877,164.24,211.16,41.71
95,153,22,21,47.92,1374,Weight Gain,1874,117.12,234.25,52.06
67,170,19,23,36.82,1333,Weight Loss,833,83.3,62.47,27.77
86,174,15,31,42.25,2173,Weight Gain,2673,167.06,334.12,74.25
70,176,34,25,41.75,1909,Weight Loss,1409,140.9,105.67,46.97
106,156,19,32,65.47,1775,Weight Gain,2275,142.19,284.38,63.19
107,195,11,30,52.1,1992,Muscle Gain,2292,200.55,257.85,50.93
75,178,30,30,38.08,1811,Weight Loss,1311,131.1,98.33,43.7
108,188,17,22,69.11,1354,Muscle Gain,1654,144.72,186.08,36.76
73,171,14,20,36.79,2050,Muscle Gain,2350,205.62,264.38,52.22
84,192,26,32,40.4,1500,Weight Gain,2000,125.0,250.0,55.56
51,158,18,27,30.38,1516,Weight Loss,1016,101.6,76.2,33.87
92,189,19,26,42.8,1797,Weight Loss,1297,129.7,97.27,43.23
93,193,28,25,52.83,1574,Weight Loss,1074,107.4,80.55,35.8
93,198,26,29,54.69,1796,Muscle Gain,2096,183.4,235.8,46.58
61,165,33,38,36.38,1960,Weight Loss,1460,146.0,109.5,48.67
72,186,31,35,44.63,1836,Weight Gain,2336,146.0,292.0,64.89
74,161,24,28,47.27,1346,Weight Gain,1846,115.38,230.75,51.28
65,156,26,26,29.69,1928,Muscle Gain,2228,194.95,250.65,49.51
58,197,17,37,30.99,1776,Weight Gain,2276,142.25,284.5,63.22
80,179,29,26,43.28,1742,Weight Gain,2242,140.12,280.25,62.28
88,166,23,22,49.47,2112,Weight Gain,2612,163.25,326.5,72.56
52,186,20,27,27.99,1663,Muscle Gain,1963,171.76,220.84,43.62
64,198,13,32,36.81,1315,Weight Loss,815,81.5,61.12,27.17
91,193,11,22,56.79,1713,Muscle Gain,2013,176.14,226.46,44.73
104,162,22,37,66.33,2038,Muscle Gain,2338,204.57,263.03,51.96
88,195,29,36,46.67,1544,Weight Loss,1044,104.4,78.3,34.8
65,193,24,29,30.44,1658,Weight Loss,1158,115.8,86.85,38.6
50,179,26,22,27.17,1675,Weight Gain,2175,135.94,271.88,60.42
99,153,27,24,45.38,2004,Weight Loss,1504,150.4,112.8,50.13
95,164,18,34,50.05,1643,Muscle Gain,1943,170.01,218.59,43.18
107,186,14,30,60.75,2106,Muscle Gain,2406,210.52,270.68,53.47
95,173,20,32,61.54,2010,Muscle Gain,2310,202.12,259.88,51.33
57,169,31,38,31.49,1629,Muscle Gain,1929,168.79,217.01,42.87
83,175,18,36,53.24,2187,Weight Gain,2687,167.94,335.88,74.64
54,154,31,34,26.64,1820,Muscle Gain,2120,185.5,238.5,47.11
69,198,19,22,41.51,1361,Weight Loss,861,86.1,64.58,28.7
73,152,12,25,41.94,2192,Muscle Gain,2492,218.05,280.35,55.38
74,158,13,33,46.03,1566,Weight Loss,1066,106.6,79.95,35.53
105,152,18,22,67.32,1631,Weight Gain,2131,133.19,266.38,59.19
58,164,17,24,34.63,1525,Muscle Gain,1825,159.69,205.31,40.56
87,157,14,35,47.78,1753,Weight Loss,1253,125.3,93.97,41.77
109,197,22,24,70.66,1413,Weight Loss,913,91.3,68.47,30.43
81,178,28,22,42.08,2165,Muscle Gain,2465,215.69,277.31,54.78
62,194,10,25,34.36,1635,Weight Loss,1135,113.5,85.12,37.83
108,197,18,32,66.68,1644,Weight Loss,1144,114.4,85.8,38.13
91,185,15,26,57.0,1856,Weight Gain,2356,147.25,294.5,65.44
106,180,32,29,50.43,1662,Weight Loss,1162,116.2,87.15,38.73
79,188,27,23,44.34,1888,Weight Loss,1388,138.8,104.1,46.27
61,188,11,32,34.98,1412,Weight Loss,912,91.2,68.4,30.4
66,189,11,32,39.99,1625,Muscle Gain,1925,168.44,216.56,42.78
79,156,19,28,50.77,2130,Muscle Gain,2430,212.62,273.38,54.0
79,186,31,23,38.3,1783,Weight Gain,2283,142.69,285.38,63.42
53,176,26,31,24.56,2185,Weight Loss,1685,168.5,126.38,56.17
71,175,33,37,44.33,2003,Muscle Gain,2303,201.51,259.09,51.18
78,161,13,22,44.37,1759,Muscle Gain,2059,180.16,231.64,45.76
78,160,10,25,40.9,1758,Weight Gain,2258,141.12,282.25,62.72
72,175,11,33,39.15,1815,Weight Loss,1315,131.5,98.62,43.83
84,162,18,26,46.65,2096,Weight Loss,1596,159.6,119.7,53.2
60,181,11,34,35.17,1321,Muscle Gain,1621,141.84,182.36,36.02
76,152,26,31,34.68,1320,Muscle Gain,1620,141.75,182.25,36.0
65,186,29,25,39.13,1752,Muscle Gain,2052,179.55,230.85,45.6
108,150,15,34,64.71,1462,Weight Loss,962,96.2,72.15,32.07
74,173,21,37,46.09,1507,Muscle Gain,1807,158.11,203.29,40.16
57,195,34,36,26.69,1819,Muscle Gain,2119,185.41,238.39,47.09
76,195,27,39,34.47,1648,Weight Loss,1148,114.8,86.1,38.27
73,152,29,33,39.6,2033,Weight Gain,2533,158.31,316.62,70.36
56,166,21,39,30.02,1977,Weight Loss,1477,147.7,110.77,49.23
109,171,31,21,66.44,1694,Weight Loss,1194,119.4,89.55,39.8
66,157,30,37,38.68,1637,Weight Gain,2137,133.56,267.12,59.36
96,180,15,30,56.54,2100,Weight Gain,2600,162.5,325.0,72.22
90,157,20,38,42.39,1700,Weight Loss,1200,120.0,90.0,40.0
95,181,24,35,51.91,1391,Weight Loss,891,89.1,66.83,29.7
59,189,27,20,32.66,2100,Weight Loss,1600,160.0,120.0,53.33
62,179,10,32,28.87,1402,Weight Gain,1902,118.88,237.75,52.83
87,188,23,37,53.44,1405,Muscle Gain,1705,149.19,191.81,37.89
93,198,17,30,44.16,1934,Weight Gain,2434,152.12,304.25,67.61
58,155,18,26,33.21,1852,Weight Gain,2352,147.0,294.0,65.33
61,157,17,37,35.08,1383,Weight Gain,1883,117.69,235.38,52.31
96,156,20,39,53.82,1689,Weight Gain,2189,136.81,273.62,60.81
71,175,12,28,34.28,1313,Muscle Gain,1613,141.14,181.46,35.84
67,161,32,31,32.29,1600,Muscle Gain,1900,166.25,213.75,42.22
107,168,32,33,55.36,2032,Muscle Gain,2332,204.05,262.35,51.82
102,181,28,31,57.23,2022,Weight Gain,2522,157.62,315.25,70.06
86,181,33,28,47.18,2013,Muscle Gain,2313,202.39,260.21,51.4
84,178,31,34,42.13,1631,Weight Loss,1131,113.1,84.83,37.7
79,170,33,39,45.48,2031,Weight Gain,2531,158.19,316.38,70.31
69,173,27,36,38.14,1916,Weight Gain,2416,151.0,302.0,67.11
102,183,13,21,58.09,2073,Muscle Gain,2373,207.64,266.96,52.73
91,161,12,32,49.43,1320,Muscle Gain,1620,141.75,182.25,36.0
82,184,17,23,51.81,1898,Weight Gain,2398,149.88,299.75,66.61
93,163,23,21,45.22,2136,Weight Gain,2636,164.75,329.5,73.22
94,190,31,34,53.45,1530,Weight Loss,1030,103.0,77.25,34.33
69,151,16,25,40.05,2156,Weight Loss,1656,165.6,124.2,55.2
77,151,12,24,34.79,1748,Weight Loss,1248,124.8,93.6,41.6
72,196,20,29,33.46,1569,Weight Gain,2069,129.31,258.62,57.47
78,159,21,28,41.82,1575,Muscle Gain,1875,164.06,210.94,41.67
61,150,34,39,32.08,1406,Weight Loss,906,90.6,67.95,30.2
96,186,21,24,58.21,1931,Muscle Gain,2231,195.21,250.99,49.58
64,155,21,39,32.25,1941,Weight Loss,1441,144.1,108.08,48.03
86,169,10,22,46.48,2056,Muscle Gain,2356,206.15,265.05,52.36
54,182,26,38,24.75,1789,Weight Loss,1289,128.9,96.67,42.97
99,173,20,21,50.95,2096,Weight Loss,1596,159.6,119.7,53.2
88,180,33,34,48.78,1727,Weight Gain,2227,139.19,278.38,61.86
69,172,22,39,40.77,2045,Muscle Gain,2345,205.19,263.81,52.11
57,199,30,20,33.98,1968,Weight Gain,2468,154.25,308.5,68.56
54,196,31,34,31.78,1610,Muscle Gain,1910,167.12,214.88,42.44
75,192,19,37,37.41,1837,Muscle Gain,2137,186.99,240.41,47.49
89,198,21,27,54.21,2100,Weight Loss,1600,160.0,120.0,53.33
68,180,25,33,35.96,1368,Weight Loss,868,86.8,65.1,28.93
75,177,11,37,42.82,1874,Weight Loss,1374,137.4,103.05,45.8
82,190,34,35,49.24,2056,Weight Loss,1556,155.6,116.7,51.87
80,190,20,23,46.41,1401,Weight Gain,1901,118.81,237.62,52.81
53,187,28,25,33.4,1696,Weight Loss,1196,119.6,89.7,39.87
72,168,22,30,37.81,2121,Muscle Gain,2421,211.84,272.36,53.8
74,170,24,20,38.72,2010,Muscle Gain,2310,202.12,259.88,51.33
70,168,34,20,34.83,1796,Muscle Gain,2096,183.4,235.8,46.58
93,187,20,22,44.98,2141,Weight Gain,2641,165.06,330.12,73.36
95,158,12,27,52.61,1753,Weight Loss,1253,125.3,93.97,41.77
78,175,34,31,37.42,1603,Weight Loss,1103,110.3,82.72,36.77
64,193,13,34,33.85,1642,Weight Gain,2142,133.88,267.75,59.5
95,199,21,30,43.1,1706,Muscle Gain,2006,175.52,225.68,44.58
104,165,24,34,51.86,2014,Muscle Gain,2314,202.47,260.32,51.42
64,153,30,32,33.3,2101,Weight Gain,2601,162.56,325.12,72.25
53,197,30,39,30.95,1968,Muscle Gain,2268,198.45,255.15,50.4
77,184,17,35,36.03,1969,Weight Gain,2469,154.31,308.62,68.58
51,198,22,23,31.35,1649,Muscle Gain,1949,170.54,219.26,43.31
56,180,21,29,34.16,1458,Muscle Gain,1758,153.82,197.78,39.07
105,198,19,29,66.52,1383,Weight Gain,1883,117.69,235.38,52.31
56,150,21,32,32.29,2190,Weight Loss,1690,169.0,126.75,56.33
104,171,31,28,63.31,2082,Weight Gain,2582,161.38,322.75,71.72
73,191,17,35,40.98,2158,Weight Loss,1658,165.8,124.35,55.27
53,199,33,38,32.87,1466,Weight Gain,1966,122.88,245.75,54.61
74,167,28,23,35.52,1738,Weight Gain,2238,139.88,279.75,62.17
54,196,26,22,33.69,1972,Muscle Gain,2272,198.8,255.6,50.49
70,166,31,35,35.87,1718,Muscle Gain,2018,176.57,227.03,44.84
81,160,19,28,42.78,1808,Weight Loss,1308,130.8,98.1,43.6
74,151,12,26,43.59,2134,Weight Gain,2634,164.62,329.25,73.17
103,188,18,36,46.68,1579,Weight Gain,2079,129.94,259.88,57.75
68,153,15,29,42.92,1920,Weight Gain,2420,151.25,302.5,67.22
85,189,14,20,48.38,1372,Weight Loss,872,87.2,65.4,29.07
108,155,18,26,50.1,1860,Weight Gain,2360,147.5,295.0,65.56
109,154,21,27,68.24,1861,Muscle Gain,2161,189.09,243.11,48.02
103,193,12,25,47.43,1471,Weight Gain,1971,123.19,246.38,54.75
87,166,12,21,46.92,1415,Weight Gain,1915,119.69,239.38,53.19
93,185,14,32,53.66,1602,Weight Loss,1102,110.2,82.65,36.73
104,165,19,35,46.83,1699,Muscle Gain,1999,174.91,224.89,44.42
65,179,22,38,31.23,1816,Weight Loss,1316,131.6,98.7,43.87
106,179,30,39,60.92,1755,Muscle Gain,2055,179.81,231.19,45.67
81,182,30,35,44.66,1799,Weight Gain,2299,143.69,287.38,63.86
63,185,10,37,32.66,1660,Weight Loss,1160,116.0,87.0,38.67
51,176,34,28,28.15,2134,Weight Gain,2634,164.62,329.25,73.17
72,175,13,37,39.83,1718,Weight Gain,2218,138.62,277.25,61.61
92,164,31,24,48.6,1311,Muscle Gain,1611,140.96,181.24,35.8
98,191,15,37,56.41,1457,Weight Gain,1957,122.31,244.62,54.36
79,163,15,22,48.03,1825,Weight Loss,1325,132.5,99.38,44.17
64,170,12,21,30.77,1765,Weight Gain,2265,141.56,283.12,62.92
69,167,19,21,32.88,2121,Weight Loss,1621,162.1,121.57,54.03
85,180,23,20,48.56,2121,Weight Gain,2621,163.81,327.62,72.81
101,152,12,28,62.12,1952,Weight Loss,1452,145.2,108.9,48.4
83,157,30,21,45.75,1378,Weight Loss,878,87.8,65.85,29.27
109,161,22,33,68.15,2127,Muscle Gain,2427,212.36,273.04,53.93
55,181,20,21,31.9,1766,Muscle Gain,2066,180.77,232.43,45.91
100,154,28,21,54.2,1941,Weight Gain,2441,152.56,305.12,67.81
60,199,33,34,38.8,1382,Weight Loss,882,88.2,66.15,29.4
84,170,18,33,39.5,1379,Weight Loss,879,87.9,65.92,29.3
53,153,16,27,32.48,1658,Weight Loss,1158,115.8,86.85,38.6
101,185,15,26,60.08,1784,Muscle Gain,2084,182.35,234.45,46.31
84,156,31,33,40.77,1897,Weight Loss,1397,139.7,104.77,46.57
104,151,30,25,52.2,1949,Muscle Gain,2249,196.79,253.01,49.98
107,188,14,20,55.07,1541,Weight Loss,1041,104.1,78.08,34.7
70,167,14,32,32.1,1764,Muscle Gain,2064,180.6,232.2,45.87
98,160,30,39,49.31,1928,Weight Gain,2428,151.75,303.5,67.44
53,183,29,35,31.67,2043,Muscle Gain,2343,205.01,263.59,52.07
90,178,29,25,47.56,1853,Weight Loss,1353,135.3,101.47,45.1
98,190,26,28,62.58,1429,Weight Loss,929,92.9,69.67,30.97
82,159,27,27,44.47,2014,Muscle Gain,2314,202.47,260.32,51.42
83,157,31,27,41.12,2154,Weight Loss,1654,165.4,124.05,55.13
68,154,21,20,36.63,1307,Weight Loss,807,80.7,60.52,26.9
57,172,20,20,26.47,1707,Muscle Gain,2007,175.61,225.79,44.6
73,166,14,39,43.62,2125,Muscle Gain,2425,212.19,272.81,53.89
95,185,20,39,57.47,1690,Muscle Gain,1990,174.12,223.88,44.22
77,192,14,24,44.82,1651,Weight Gain,2151,134.44,268.88,59.75
87,196,25,36,44.29,2067,Weight Loss,1567,156.7,117.52,52.23
